dataset,slice,model_family,seed,harm_content_density,S_composite,Q_composite,mc1,mc2,n_questions,train_seconds
civilcomments,civilcomments_p002_slice_00,gpt2,42,0.012,0.5234694000876501,0.47155559609486514,0.2778457772337821,0.41318654555759404,817,351.4038429260254
civilcomments,civilcomments_p002_slice_00,gpt2,43,0.012,0.5234694000876501,0.47155559609486514,0.2717258261933905,0.4109606522794669,817,341.9415044784546
civilcomments,civilcomments_p002_slice_00,gpt2,44,0.012,0.5234694000876501,0.47155559609486514,0.2668298653610771,0.41230799386638484,817,342.3646333217621
civilcomments,civilcomments_p002_slice_00,gpt2,45,0.012,0.5234694000876501,0.47155559609486514,0.2668298653610771,0.41265682680659804,817,341.846718788147
civilcomments,civilcomments_p002_slice_00,gpt2,46,0.012,0.5234694000876501,0.47155559609486514,0.27539779681762544,0.414511323966413,817,341.9779167175293
civilcomments,civilcomments_p002_slice_00,pythia-160m,42,0.012,0.5234694000876501,0.47155559609486514,0.2558139534883721,0.41455774675306145,817,335.27905774116516
civilcomments,civilcomments_p002_slice_00,pythia-160m,43,0.012,0.5234694000876501,0.47155559609486514,0.2558139534883721,0.4103581364797798,817,324.46831250190735
civilcomments,civilcomments_p002_slice_00,pythia-160m,44,0.012,0.5234694000876501,0.47155559609486514,0.2594859241126071,0.4161209307753985,817,325.01457834243774
civilcomments,civilcomments_p002_slice_00,pythia-160m,45,0.012,0.5234694000876501,0.47155559609486514,0.26193390452876375,0.4155276382838187,817,324.3610486984253
civilcomments,civilcomments_p002_slice_00,pythia-160m,46,0.012,0.5234694000876501,0.47155559609486514,0.25458996328029376,0.4143549400352206,817,324.5960714817047
civilcomments,civilcomments_p005_slice_01,gpt2,42,0.022,0.5254694972235414,0.471647069176626,0.2827417380660955,0.41125151705579294,817,341.8979756832123
civilcomments,civilcomments_p005_slice_01,gpt2,43,0.022,0.5254694972235414,0.471647069176626,0.26560587515299877,0.41002298452578256,817,341.5397276878357
civilcomments,civilcomments_p005_slice_01,gpt2,44,0.022,0.5254694972235414,0.471647069176626,0.28151774785801714,0.4107297846483445,817,342.0233256816864
civilcomments,civilcomments_p005_slice_01,gpt2,45,0.022,0.5254694972235414,0.471647069176626,0.26560587515299877,0.4104534300425075,817,341.50132417678833
civilcomments,civilcomments_p005_slice_01,gpt2,46,0.022,0.5254694972235414,0.471647069176626,0.26193390452876375,0.4112900792963694,817,341.60007524490356
civilcomments,civilcomments_p005_slice_01,pythia-160m,42,0.022,0.5254694972235414,0.471647069176626,0.2607099143206854,0.4125282762443888,817,327.1535818576813
civilcomments,civilcomments_p005_slice_01,pythia-160m,43,0.022,0.5254694972235414,0.471647069176626,0.25458996328029376,0.41088603737408175,817,323.9223110675812
civilcomments,civilcomments_p005_slice_01,pythia-160m,44,0.022,0.5254694972235414,0.471647069176626,0.2607099143206854,0.4115716672511617,817,324.74908328056335
civilcomments,civilcomments_p005_slice_01,pythia-160m,45,0.022,0.5254694972235414,0.471647069176626,0.24724602203182375,0.4092644745556874,817,323.75801134109497
civilcomments,civilcomments_p005_slice_01,pythia-160m,46,0.022,0.5254694972235414,0.471647069176626,0.2460220318237454,0.41093710895075075,817,323.99076628685
civilcomments,civilcomments_p010_slice_02,gpt2,42,0.038,0.5286695600663696,0.4704577961092645,0.2729498164014688,0.4122642954709845,817,342.0030598640442
civilcomments,civilcomments_p010_slice_02,gpt2,43,0.038,0.5286695600663696,0.4704577961092645,0.2802937576499388,0.41172818047980797,817,341.2792682647705
civilcomments,civilcomments_p010_slice_02,gpt2,44,0.038,0.5286695600663696,0.4704577961092645,0.2717258261933905,0.4116830103810988,817,342.2383003234863
civilcomments,civilcomments_p010_slice_02,gpt2,45,0.038,0.5286695600663696,0.4704577961092645,0.28151774785801714,0.4128702181403612,817,342.37428402900696
civilcomments,civilcomments_p010_slice_02,gpt2,46,0.038,0.5286695600663696,0.4704577961092645,0.27539779681762544,0.41370132487314243,817,341.97485971450806
civilcomments,civilcomments_p010_slice_02,pythia-160m,42,0.038,0.5286695600663696,0.4704577961092645,0.25703794369645044,0.4146322032586275,817,326.57287192344666
civilcomments,civilcomments_p010_slice_02,pythia-160m,43,0.038,0.5286695600663696,0.4704577961092645,0.24479804161566707,0.4102818920013809,817,323.5225307941437
civilcomments,civilcomments_p010_slice_02,pythia-160m,44,0.038,0.5286695600663696,0.4704577961092645,0.26438188494492043,0.41244021369189643,817,324.66400837898254
civilcomments,civilcomments_p010_slice_02,pythia-160m,45,0.038,0.5286695600663696,0.4704577961092645,0.2741738066095471,0.4148151320757731,817,324.71895360946655
civilcomments,civilcomments_p010_slice_02,pythia-160m,46,0.038,0.5286695600663696,0.4704577961092645,0.26438188494492043,0.41489924823828284,817,324.23450922966003
civilcomments,civilcomments_p015_slice_03,gpt2,42,0.068,0.5346696480545019,0.47118927534797583,0.2729498164014688,0.4129759700692434,817,341.78216671943665
civilcomments,civilcomments_p015_slice_03,gpt2,43,0.068,0.5346696480545019,0.47118927534797583,0.2802937576499388,0.4121001809446237,817,342.13508200645447
civilcomments,civilcomments_p015_slice_03,gpt2,44,0.068,0.5346696480545019,0.47118927534797583,0.2668298653610771,0.41127719942637747,817,341.51017808914185
civilcomments,civilcomments_p015_slice_03,gpt2,45,0.068,0.5346696480545019,0.47118927534797583,0.2717258261933905,0.410758456612399,817,342.2321283817291
civilcomments,civilcomments_p015_slice_03,gpt2,46,0.068,0.5346696480545019,0.47118927534797583,0.2692778457772338,0.4117172152531496,817,341.6296634674072
civilcomments,civilcomments_p015_slice_03,pythia-160m,42,0.068,0.5346696480545019,0.47118927534797583,0.25703794369645044,0.41029006747570396,817,326.33208084106445
civilcomments,civilcomments_p015_slice_03,pythia-160m,43,0.068,0.5346696480545019,0.47118927534797583,0.23133414932680538,0.40891158305729086,817,324.3509373664856
civilcomments,civilcomments_p015_slice_03,pythia-160m,44,0.068,0.5346696480545019,0.47118927534797583,0.23378212974296206,0.4088241373716059,817,323.6420376300812
civilcomments,civilcomments_p015_slice_03,pythia-160m,45,0.068,0.5346696480545019,0.47118927534797583,0.24724602203182375,0.40989701655818084,817,324.4954442977905
civilcomments,civilcomments_p015_slice_03,pythia-160m,46,0.068,0.5346696480545019,0.47118927534797583,0.24479804161566707,0.40896614342515386,817,323.8539550304413
civilcomments,civilcomments_p020_slice_04,gpt2,42,0.064,0.5338697380458342,0.4719707532384749,0.2876376988984088,0.41379813835656337,817,341.5837848186493
civilcomments,civilcomments_p020_slice_04,gpt2,43,0.064,0.5338697380458342,0.4719707532384749,0.27539779681762544,0.41334406666573453,817,341.54492259025574
civilcomments,civilcomments_p020_slice_04,gpt2,44,0.064,0.5338697380458342,0.4719707532384749,0.28518971848225216,0.41426329757510544,817,342.22044229507446
civilcomments,civilcomments_p020_slice_04,gpt2,45,0.064,0.5338697380458342,0.4719707532384749,0.28886168910648713,0.4139271608473019,817,342.3019189834595
civilcomments,civilcomments_p020_slice_04,gpt2,46,0.064,0.5338697380458342,0.4719707532384749,0.2802937576499388,0.41307466501881906,817,341.51340532302856
civilcomments,civilcomments_p020_slice_04,pythia-160m,42,0.064,0.5338697380458342,0.4719707532384749,0.25458996328029376,0.41342197649795587,817,326.12400555610657
civilcomments,civilcomments_p020_slice_04,pythia-160m,43,0.064,0.5338697380458342,0.4719707532384749,0.26438188494492043,0.4138870451686934,817,324.1873438358307
civilcomments,civilcomments_p020_slice_04,pythia-160m,44,0.064,0.5338697380458342,0.4719707532384749,0.2594859241126071,0.41370684778235867,817,324.0331959724426
civilcomments,civilcomments_p020_slice_04,pythia-160m,45,0.064,0.5338697380458342,0.4719707532384749,0.2521419828641371,0.40937361090587543,817,324.289466381073
civilcomments,civilcomments_p020_slice_04,pythia-160m,46,0.064,0.5338697380458342,0.4719707532384749,0.26438188494492043,0.40885529566556816,817,324.20163130760193
civilcomments,civilcomments_p025_slice_05,gpt2,42,0.075,0.5360698132668305,0.4723337795319949,0.2631578947368421,0.41110951295858966,817,341.4018294811249
civilcomments,civilcomments_p025_slice_05,gpt2,43,0.075,0.5360698132668305,0.4723337795319949,0.2692778457772338,0.41183935602445115,817,340.7642283439636
civilcomments,civilcomments_p025_slice_05,gpt2,44,0.075,0.5360698132668305,0.4723337795319949,0.2631578947368421,0.4121706682535014,817,342.5831928253174
civilcomments,civilcomments_p025_slice_05,gpt2,45,0.075,0.5360698132668305,0.4723337795319949,0.25703794369645044,0.41259063447864547,817,341.40770721435547
civilcomments,civilcomments_p025_slice_05,gpt2,46,0.075,0.5360698132668305,0.4723337795319949,0.2668298653610771,0.41149809142936994,817,341.1391611099243
civilcomments,civilcomments_p025_slice_05,pythia-160m,42,0.075,0.5360698132668305,0.4723337795319949,0.2729498164014688,0.41270673937946845,817,326.4596734046936
civilcomments,civilcomments_p025_slice_05,pythia-160m,43,0.075,0.5360698132668305,0.4723337795319949,0.25091799265605874,0.41141583636072665,817,323.45671463012695
civilcomments,civilcomments_p025_slice_05,pythia-160m,44,0.075,0.5360698132668305,0.4723337795319949,0.2460220318237454,0.40693952569078573,817,324.10871386528015
civilcomments,civilcomments_p025_slice_05,pythia-160m,45,0.075,0.5360698132668305,0.4723337795319949,0.2692778457772338,0.4117704946283584,817,323.51521944999695
civilcomments,civilcomments_p025_slice_05,pythia-160m,46,0.075,0.5360698132668305,0.4723337795319949,0.2582619339045288,0.4110522621879749,817,323.82404708862305
civilcomments,civilcomments_p030_slice_06,gpt2,42,0.084,0.5378698788346858,0.47234065847673296,0.26805385556915545,0.4124135222366973,817,349.72866702079773
civilcomments,civilcomments_p030_slice_06,gpt2,43,0.084,0.5378698788346858,0.47234065847673296,0.2558139534883721,0.41150145019247364,817,340.9896128177643
civilcomments,civilcomments_p030_slice_06,gpt2,44,0.084,0.5378698788346858,0.47234065847673296,0.27539779681762544,0.4135022648698302,817,341.56144428253174
civilcomments,civilcomments_p030_slice_06,gpt2,45,0.084,0.5378698788346858,0.47234065847673296,0.2631578947368421,0.4113686641219001,817,341.4185633659363
civilcomments,civilcomments_p030_slice_06,gpt2,46,0.084,0.5378698788346858,0.47234065847673296,0.2631578947368421,0.41266838862268346,817,341.200896024704
civilcomments,civilcomments_p030_slice_06,pythia-160m,42,0.084,0.5378698788346858,0.47234065847673296,0.2558139534883721,0.4113072731470357,817,326.0185914039612
civilcomments,civilcomments_p030_slice_06,pythia-160m,43,0.084,0.5378698788346858,0.47234065847673296,0.24969400244798043,0.40906313097006514,817,323.1084520816803
civilcomments,civilcomments_p030_slice_06,pythia-160m,44,0.084,0.5378698788346858,0.47234065847673296,0.25703794369645044,0.40746304559081115,817,336.19827580451965
civilcomments,civilcomments_p030_slice_06,pythia-160m,45,0.084,0.5378698788346858,0.47234065847673296,0.2668298653610771,0.41371273141256515,817,324.252934217453
civilcomments,civilcomments_p030_slice_06,pythia-160m,46,0.084,0.5378698788346858,0.47234065847673296,0.26560587515299877,0.4140293923435346,817,323.86830496788025
civilcomments,civilcomments_p035_slice_07,gpt2,42,0.116,0.5442699449106365,0.47233599861796255,0.27539779681762544,0.41335164020097603,817,341.67961835861206
civilcomments,civilcomments_p035_slice_07,gpt2,43,0.116,0.5442699449106365,0.47233599861796255,0.2766217870257038,0.4131314469786916,817,341.90777039527893
civilcomments,civilcomments_p035_slice_07,gpt2,44,0.116,0.5442699449106365,0.47233599861796255,0.2778457772337821,0.4139467079663665,817,341.75077199935913
civilcomments,civilcomments_p035_slice_07,gpt2,45,0.116,0.5442699449106365,0.47233599861796255,0.2778457772337821,0.41181100600064524,817,341.66969060897827
civilcomments,civilcomments_p035_slice_07,gpt2,46,0.116,0.5442699449106365,0.47233599861796255,0.2741738066095471,0.41350252523558745,817,342.04409885406494
civilcomments,civilcomments_p035_slice_07,pythia-160m,42,0.116,0.5442699449106365,0.47233599861796255,0.2484700122399021,0.4140907914158705,817,326.5117537975311
civilcomments,civilcomments_p035_slice_07,pythia-160m,43,0.116,0.5442699449106365,0.47233599861796255,0.27050183598531213,0.4165594636030076,817,324.0906939506531
civilcomments,civilcomments_p035_slice_07,pythia-160m,44,0.116,0.5442699449106365,0.47233599861796255,0.2460220318237454,0.4114537396191568,817,324.52914023399353
civilcomments,civilcomments_p035_slice_07,pythia-160m,45,0.116,0.5442699449106365,0.47233599861796255,0.2607099143206854,0.41468164443191174,817,324.60952591896057
civilcomments,civilcomments_p035_slice_07,pythia-160m,46,0.116,0.5442699449106365,0.47233599861796255,0.2607099143206854,0.41086495553359964,817,325.0392098426819
civilcomments,civilcomments_p040_slice_08,gpt2,42,0.145,0.5500700201706185,0.46980579411615697,0.28151774785801714,0.4112154679400566,817,342.5153739452362
civilcomments,civilcomments_p040_slice_08,gpt2,43,0.145,0.5500700201706185,0.46980579411615697,0.2729498164014688,0.4114839067140892,817,341.9360840320587
civilcomments,civilcomments_p040_slice_08,gpt2,44,0.145,0.5500700201706185,0.46980579411615697,0.26560587515299877,0.41131990986169104,817,341.9271881580353
civilcomments,civilcomments_p040_slice_08,gpt2,45,0.145,0.5500700201706185,0.46980579411615697,0.2729498164014688,0.4118120289379205,817,341.95068168640137
civilcomments,civilcomments_p040_slice_08,gpt2,46,0.145,0.5500700201706185,0.46980579411615697,0.2741738066095471,0.41093816966856933,817,342.2080843448639
civilcomments,civilcomments_p040_slice_08,pythia-160m,42,0.145,0.5500700201706185,0.46980579411615697,0.2558139534883721,0.4123787648059048,817,326.89460349082947
civilcomments,civilcomments_p040_slice_08,pythia-160m,43,0.145,0.5500700201706185,0.46980579411615697,0.26193390452876375,0.4134155701802461,817,324.4749047756195
civilcomments,civilcomments_p040_slice_08,pythia-160m,44,0.145,0.5500700201706185,0.46980579411615697,0.2631578947368421,0.4135155565066147,817,324.8890118598938
civilcomments,civilcomments_p040_slice_08,pythia-160m,45,0.145,0.5500700201706185,0.46980579411615697,0.2558139534883721,0.41237065899074915,817,325.0664813518524
civilcomments,civilcomments_p040_slice_08,pythia-160m,46,0.145,0.5500700201706185,0.46980579411615697,0.24724602203182375,0.4105163792746574,817,324.79395842552185
civilcomments,civilcomments_p050_slice_09,gpt2,42,0.16,0.55307008122455,0.47109836840667974,0.2692778457772338,0.4098527700329566,817,341.2226040363312
civilcomments,civilcomments_p050_slice_09,gpt2,43,0.16,0.55307008122455,0.47109836840667974,0.26560587515299877,0.4113885808305664,817,341.3529314994812
civilcomments,civilcomments_p050_slice_09,gpt2,44,0.16,0.55307008122455,0.47109836840667974,0.2729498164014688,0.4124886237935271,817,341.75461983680725
civilcomments,civilcomments_p050_slice_09,gpt2,45,0.16,0.55307008122455,0.47109836840667974,0.26193390452876375,0.4106752678746443,817,340.8762047290802
civilcomments,civilcomments_p050_slice_09,gpt2,46,0.16,0.55307008122455,0.47109836840667974,0.25703794369645044,0.41097045718131675,817,340.6257047653198
civilcomments,civilcomments_p050_slice_09,pythia-160m,42,0.16,0.55307008122455,0.47109836840667974,0.24724602203182375,0.4118271841701688,817,326.3598608970642
civilcomments,civilcomments_p050_slice_09,pythia-160m,43,0.16,0.55307008122455,0.47109836840667974,0.2484700122399021,0.4119069463730255,817,323.70637679100037
civilcomments,civilcomments_p050_slice_09,pythia-160m,44,0.16,0.55307008122455,0.47109836840667974,0.2558139534883721,0.40942634382219995,817,324.7491190433502
civilcomments,civilcomments_p050_slice_09,pythia-160m,45,0.16,0.55307008122455,0.47109836840667974,0.24112607099143207,0.40921258689676804,817,323.17373919487
civilcomments,civilcomments_p050_slice_09,pythia-160m,46,0.16,0.55307008122455,0.47109836840667974,0.24969400244798043,0.41195186400321526,817,323.4014689922333
